,Indicator,Type,Category,velocity_25,velocity_25_global,velocity_25_type_local,velocity_25_cat_local
0,10_EMA_100,Raw,trend_ratio,0.0025471673206868923,slow,slow,fast
1,10_EMA_200,Raw,trend_ratio,0.002733065691295349,slow,slow,fast
2,10_EMA_25,Raw,trend_ratio,0.0015324733353185916,slow,slow,moderate
3,10_EMA_50,Raw,trend_ratio,0.0021835838368453623,slow,slow,moderate
4,10_ESMA_100,Raw,trend_ratio,0.002815536473626839,slow,slow,fast
5,10_ESMA_200,Raw,trend_ratio,0.0028616219450731937,slow,slow,fast
6,10_ESMA_25,Raw,trend_ratio,0.0023378859501820394,slow,slow,fast
7,10_ESMA_50,Raw,trend_ratio,0.0026719183414371014,slow,slow,fast
8,10_SMA_100,Raw,trend_ratio,0.002807984149786927,slow,slow,fast
9,10_SMA_200,Raw,trend_ratio,0.0028309541246613512,slow,slow,fast
10,10_SMA_25,Raw,trend_ratio,0.002300178119686992,slow,slow,fast
11,10_SMA_50,Raw,trend_ratio,0.0026506409951692145,slow,slow,fast
12,100_EMA_200,Raw,trend_ratio,0.00036270018301336215,slow,,
13,100_ESMA_200,Raw,trend_ratio,0.0006150559770732244,slow,slow,slow
14,100_SMA_200,Raw,trend_ratio,0.0005961284585690064,slow,slow,slow
15,25_EMA_100,Raw,trend_ratio,0.0012547292160564243,slow,slow,moderate
16,25_EMA_200,Raw,trend_ratio,0.0015203319323977022,slow,slow,moderate
17,25_EMA_50,Raw,trend_ratio,0.0007742489762809815,slow,slow,slow
18,25_ESMA_100,Raw,trend_ratio,0.0016169105671616304,slow,slow,moderate
19,25_ESMA_200,Raw,trend_ratio,0.0017115275129154543,slow,slow,moderate
20,25_ESMA_50,Raw,trend_ratio,0.0013663942108815082,slow,slow,moderate
21,25_SMA_100,Raw,trend_ratio,0.0016158972489271808,slow,slow,moderate
22,25_SMA_200,Raw,trend_ratio,0.0017019884540520364,slow,slow,moderate
23,25_SMA_50,Raw,trend_ratio,0.0013568602053018193,slow,slow,moderate
24,50_EMA_100,Raw,trend_ratio,0.0005290903023168085,slow,slow,slow
25,50_EMA_200,Raw,trend_ratio,0.0008626724363496043,slow,slow,slow
26,50_ESMA_100,Raw,trend_ratio,0.0009449383163175586,slow,slow,slow
27,50_ESMA_200,Raw,trend_ratio,0.0010853884726576477,slow,slow,slow
28,50_SMA_100,Raw,trend_ratio,0.0009258498829123166,slow,slow,slow
29,50_SMA_200,Raw,trend_ratio,0.0010713786752060421,slow,slow,slow
30,ADL,Raw,volume,0.4338802461077505,moderate,fast,slow
