,Indicator,Type,Category,velocity_25,velocity_25_global,velocity_25_type_local,velocity_25_cat_local,Lift_Consistency_5,Lift_Consistency_10,Lift_Consistency_20,Rel_Lift_Consistency_5,Rel_Lift_Consistency_10,Rel_Lift_Consistency_20,Dist_Consistency
0,10_EMA_100,Raw,trend_ratio,0.002547166762780758,slow,slow,fast,0.2938017917282793,0.3154602303590549,0.3529493122887848,0.26269001030920003,0.2438083682042055,0.23636106666342047,0.09983717139661913
1,10_EMA_200,Raw,trend_ratio,0.002733065691295349,slow,slow,fast,0.29205229944877664,0.31189069970623406,0.35678319437850936,0.2515165932653859,0.24500501875249134,0.2781563102933639,0.10472553072344029
2,10_EMA_25,Raw,trend_ratio,0.0015324733353185916,slow,slow,moderate,0.21599262779204825,0.23694509759837404,0.2830800608977973,0.18538563632005764,0.18586325104955584,0.19024388702136508,0.07575371730627128
3,10_EMA_50,Raw,trend_ratio,0.0021835838368453623,slow,slow,moderate,0.22562626793530274,0.2586185174297728,0.30554214255905693,0.20047777279895657,0.21036399207153125,0.22300244759141963,0.08420704633450118
4,10_ESMA_100,Raw,trend_ratio,0.002815536473626839,slow,slow,fast,0.2599384329611171,0.3029012764194574,0.33528034421451264,0.22808631703428997,0.23642105403422098,0.23243392650675457,0.09265463153101511
5,10_ESMA_200,Raw,trend_ratio,0.0028616213370496755,slow,slow,fast,0.3042395715006333,0.3457741928954088,0.40599677001617157,0.2630843047337231,0.28413205221021726,0.326714190871742,0.11201908798504628
6,10_ESMA_25,Raw,trend_ratio,0.002337885427461607,slow,slow,fast,0.2249114175328888,0.23004561179046215,0.27562138284730026,0.2055797686661521,0.19370294095790497,0.20021762185132744,0.06508662300067596
7,10_ESMA_50,Raw,trend_ratio,0.0026719183414371014,slow,slow,fast,0.24481014908975812,0.2658598113589078,0.3172536747217447,0.22126637246818404,0.22771953997482333,0.2296678635089534,0.08361341342254364
8,10_SMA_100,Raw,trend_ratio,0.002807984149786927,slow,slow,fast,0.25876009817407447,0.28118324768228575,0.3347706024915923,0.22265746512952056,0.21124380687950162,0.22297901325212313,0.09167839868647273
9,10_SMA_200,Raw,trend_ratio,0.0028309541246613512,slow,slow,fast,0.30472712334164753,0.3264474600433395,0.3905314477728622,0.26327540650993103,0.26633628962887496,0.3068614819484859,0.11090457293970266
10,10_SMA_25,Raw,trend_ratio,0.002300178119686992,slow,slow,fast,0.2072088830117043,0.22149254165072135,0.28530849916830753,0.19166730537081494,0.18171587641152895,0.2084605941957008,0.06485120669484767
11,10_SMA_50,Raw,trend_ratio,0.0026506409951692145,slow,slow,fast,0.23914331156701418,0.2563968594060838,0.32871705968547815,0.2202570763273012,0.21804124368296252,0.25048554773853343,0.07966160427795493
12,100_EMA_200,Raw,trend_ratio,0.00036270018301336215,slow,,,0.26564556670653383,0.35986127089526704,0.41377794167620857,0.22620149603080067,0.3040515233691345,0.3159469807442932,0.12493481101814859
13,100_ESMA_200,Raw,trend_ratio,0.0006150559770732244,slow,slow,slow,0.3191877751181742,0.36941864513812306,0.4048312122676698,0.2844945933781475,0.3202503667852424,0.315105960958945,0.12415066107001096
14,100_SMA_200,Raw,trend_ratio,0.0005961284585690064,slow,slow,slow,0.2449004828346743,0.31982701347926734,0.4033616651288405,0.22192224575889377,0.26265837494460936,0.32033575027598393,0.11356211959380344
15,25_EMA_100,Raw,trend_ratio,0.0012547292160564243,slow,slow,moderate,0.2734020016324845,0.324769032576317,0.36020829956414757,0.23812889957914946,0.25655440445414723,0.261382128942834,0.10473525151664494
16,25_EMA_200,Raw,trend_ratio,0.0015203319323977022,slow,slow,moderate,0.27408908878497784,0.3368855265693415,0.39294067008663536,0.2311188265324701,0.2759973385778585,0.31522156779436733,0.11109412989114292
17,25_EMA_50,Raw,trend_ratio,0.0007742489762809815,slow,slow,slow,0.2747135419488828,0.28289551117962064,0.3349121041913256,0.24021720332895954,0.215689817172816,0.2379321588974047,0.09492207393429893
18,25_ESMA_100,Raw,trend_ratio,0.0016169109225436958,slow,slow,moderate,0.2579246922427685,0.29188819110748077,0.3480223538416188,0.21638301361595144,0.21561014242173768,0.2512914912218293,0.09662029790213945
19,25_ESMA_200,Raw,trend_ratio,0.0017115275129154543,slow,slow,moderate,0.3185424146011237,0.34857276606131604,0.41023384744516206,0.2763799211651543,0.29754290333579547,0.3279550256736001,0.11637736393060837
20,25_ESMA_50,Raw,trend_ratio,0.0013663942108815082,slow,slow,moderate,0.22903565376887214,0.26614467424574584,0.3151422700714925,0.21006997739666516,0.22332884733010727,0.23735410481289898,0.084209186843844
21,25_SMA_100,Raw,trend_ratio,0.0016158972489271808,slow,slow,moderate,0.22892712332232915,0.28743982137268975,0.3445405865663578,0.19850208470363537,0.22188650695082768,0.2568787857498838,0.09267636469168149
22,25_SMA_200,Raw,trend_ratio,0.0017019884540520364,slow,slow,moderate,0.3111247327155899,0.35317146414238865,0.3925227835995412,0.26971188382894834,0.30028224412607996,0.3147698703821577,0.11342587272009837
23,25_SMA_50,Raw,trend_ratio,0.0013568602053018193,slow,slow,moderate,0.24123805276813615,0.26678437334445226,0.29536257715050873,0.21816916678976944,0.2212345006372108,0.21984319146028378,0.0778577565348961
24,50_EMA_100,Raw,trend_ratio,0.0005290903023168085,slow,slow,slow,0.2681618233180957,0.33149415385931147,0.383237502193692,0.2334039943296287,0.27302371150587607,0.3110136140198786,0.10824431564037856
25,50_EMA_200,Raw,trend_ratio,0.0008626724363496043,slow,slow,slow,0.2928847220156936,0.361582475045619,0.41526353052661275,0.2517380917543494,0.3006334343041761,0.3271200102661208,0.1120337210209376
26,50_ESMA_100,Raw,trend_ratio,0.0009449383163175586,slow,slow,slow,0.24436864131025038,0.29908592247318055,0.3448651197558351,0.2136904065919634,0.22948667036736076,0.2511826601316553,0.09754273849963577
27,50_ESMA_200,Raw,trend_ratio,0.0010853884726576477,slow,slow,slow,0.3186791476614525,0.3784982714480538,0.4172846341732503,0.2859356083797538,0.3267993779093554,0.3444544636817683,0.12091376250336677
28,50_SMA_100,Raw,trend_ratio,0.0009258498829123166,slow,slow,slow,0.26398634467957544,0.3205831937209313,0.3441965088834308,0.22762928131026502,0.2644157554846776,0.25854272332267353,0.09572782805547445
29,50_SMA_200,Raw,trend_ratio,0.0010713786752060421,slow,slow,slow,0.2723606294615999,0.37090762459629306,0.4243630680122112,0.24547693517581218,0.3157441533832507,0.345943224091428,0.11954353707688521
30,ADL,Raw,volume,0.4338802461110372,moderate,fast,slow,0.19858575441533485,0.2152098988317718,0.25497046687701413,0.1800171903220087,0.16990885564108701,0.16954985884147075,0.04843143273827002
31,ADL_EA10,Exponential MA,volume,3.2193974757683272,moderate,moderate,slow,0.17298769325120752,0.19663444818424364,0.23956351199915982,0.14295757800035747,0.14473739046291362,0.1437914500648529,0.035580523820029755
32,ADL_EA25,Exponential MA,volume,5.770681699572449,fast,fast,moderate,0.173549963416638,0.2069898420002855,0.2534748309795189,0.15237051129973833,0.167952299114844,0.16495471619033356,0.04168762516695332
33,ADL_EA5,Exponential MA,volume,2.033188691373546,moderate,moderate,slow,0.15754845373067586,0.18914429427574098,0.22897654758227104,0.13122526929455372,0.13479298148431476,0.13231245361614277,0.03567329856041446
34,ADL_EA50,Exponential MA,volume,15.442034578149526,fast,fast,fast,0.18301139535150407,0.21421144957445357,0.28292389207512936,0.15735985180063794,0.17055442629393458,0.19685898887913572,0.04885367957812689
35,ADL_MA10,Simple MA,volume,3.8754938091370237,fast,moderate,moderate,0.1681687128227972,0.20667683327876257,0.23744643894626238,0.14142305270821992,0.15924975889779586,0.1488275321895679,0.03807441994688712
36,ADL_MA25,Simple MA,volume,5.7398555418534265,fast,moderate,moderate,0.1757689138139168,0.20494924765905365,0.25991223144687997,0.15178240026649012,0.17190512064619706,0.18152816356735219,0.0398496688846153
37,ADL_MA5,Simple MA,volume,2.3284681369401463,moderate,moderate,slow,0.15363596883292727,0.1847665047946008,0.22298828958262462,0.1305104860128845,0.141046948859696,0.1235997752285867,0.03647241623599409
38,ADL_MA50,Simple MA,volume,381.18821308125587,fast,fast,fast,0.20112064445698488,0.22778688072287118,0.27426733113805624,0.18521079366698295,0.19368306045433134,0.20076351829434752,0.05255645051318056
39,ADX,Raw,trend,0.05412066193863539,slow,moderate,moderate,0.19471960461212806,0.22808812120056812,0.26713138948174964,0.18126586084949872,0.20095535266840236,0.21054106402617517,0.04831212534574402
40,ADX_EA10,Exponential MA,trend,0.05099778501757525,slow,slow,moderate,0.17299342153875574,0.20719228279461577,0.2418963323358655,0.1487643855595989,0.17561041489749832,0.15696154121853267,0.033826623893772334
41,ADX_EA25,Exponential MA,trend,0.06652687935244672,slow,slow,moderate,0.18496938476532795,0.2016044928232139,0.2540969302118002,0.15785905610405904,0.165588956613714,0.17719753727701582,0.03592988102800545
42,ADX_EA5,Exponential MA,trend,0.03583383296629329,slow,slow,moderate,0.1641235901175327,0.19491005441806636,0.23230392959120186,0.14414216354627843,0.1594454692895641,0.14570262930873862,0.033062442264912
43,ADX_EA50,Exponential MA,trend,0.07083631499117697,slow,slow,moderate,0.17017087339091633,0.19881799828570365,0.24607295869688522,0.15412815525956514,0.16769441570412386,0.17710469016719493,0.042411512701832965
44,ADX_MA10,Simple MA,trend,0.05992494791061448,slow,slow,moderate,0.16573772061315412,0.19909036362720847,0.2402112504189874,0.15113730917595897,0.16566310730541234,0.1500157770834928,0.03654096172179125
45,ADX_MA25,Simple MA,trend,0.07638395202838429,slow,slow,fast,0.16739589353368295,0.19757854318047255,0.25712603726630445,0.14252888951323656,0.16231835146451995,0.17277381161626534,0.03752548045924224
46,ADX_MA5,Simple MA,trend,0.044401245948514856,slow,slow,moderate,0.16644258571548937,0.18929639067110593,0.22795053935179727,0.14861190219287296,0.1575206298098947,0.1384542929162985,0.030501896618803585
47,ADX_MA50,Simple MA,trend,0.07367211764843369,slow,slow,moderate,0.18289209786968208,0.2062721818578915,0.25817854458137,0.16524855194571214,0.18283373499853084,0.19566537811103224,0.04202570659496438
48,ATR_14,Raw,volatility,4.646308080907957,fast,fast,moderate,0.17852328577907878,0.21814038948635864,0.25737018076390916,0.1617531317479714,0.18050344954137573,0.18363531789504267,0.044933925156841525
49,ATR_14_EA10,Exponential MA,volatility,3.516106257643043,fast,moderate,moderate,0.15745317114645013,0.18749498533740724,0.21905335444958396,0.13763847305905655,0.1494641255854815,0.1438465516020562,0.027917892075319653
50,ATR_14_EA25,Exponential MA,volatility,3.1149855606459402,moderate,moderate,moderate,0.18124933466624427,0.20860410477218705,0.22619009519543232,0.16427511092731878,0.17267219775905868,0.15060214535415684,0.02867204370817756
51,ATR_14_EA5,Exponential MA,volatility,12.861532985428992,fast,fast,fast,0.13742078399131147,0.17524323042735968,0.21721054315663646,0.11659432372164834,0.12333563770351441,0.13662429140424115,0.026993060775427357
52,ATR_14_EA50,Exponential MA,volatility,3.020721274708911,moderate,moderate,moderate,0.18970185759517783,0.21456761012289063,0.23821790536658283,0.17054685590831134,0.1802610070681102,0.15656191767877856,0.02899013580270049
53,ATR_14_MA10,Simple MA,volatility,3.584784622786579,fast,moderate,moderate,0.1551369042714934,0.18631872355893525,0.22425875094812106,0.1313736593903335,0.14421005128826145,0.14642854444100756,0.03079139290141628
54,ATR_14_MA25,Simple MA,volatility,2.981328482542014,moderate,moderate,moderate,0.18288660624694075,0.22154226524854392,0.23584249356903245,0.16756862167789935,0.17863284002045343,0.15371877634881756,0.03429221706088448
55,ATR_14_MA5,Simple MA,volatility,68.00416306336417,fast,fast,fast,0.1557871995279566,0.18437271984564665,0.21438790263357413,0.13374114211835642,0.12787666514604737,0.13092977505249012,0.02993600717092891
56,ATR_14_MA50,Simple MA,volatility,6.192111652508125,fast,fast,fast,0.1944491040280998,0.24680822126233717,0.2688057953737549,0.1811588879026573,0.20763631564866544,0.19771240793426975,0.0420395168392087
57,ATR_21,Raw,volatility,3.922532542365924,fast,fast,moderate,0.18041518576382487,0.22053811766544631,0.2810837777945163,0.17235269719338558,0.18765919881360038,0.22929451411228877,0.0490239660288546
58,ATR_21_EA10,Exponential MA,volatility,2.0112943303063244,moderate,moderate,moderate,0.16450148792224906,0.21069601818101374,0.24229213862643306,0.1420712199740943,0.17559152836740488,0.16351804688853389,0.03187197053735204
59,ATR_21_EA25,Exponential MA,volatility,2.011294330263019,moderate,moderate,moderate,0.1676806409792283,0.2188535891133336,0.2377408628556369,0.15806198939659624,0.1792147280605072,0.16407995152454072,0.027679449478445774
60,ATR_21_EA5,Exponential MA,volatility,2.430014429673596,moderate,moderate,moderate,0.15413739421952816,0.1937799274771335,0.21917240509239871,0.138518150094634,0.1513911779454912,0.13952343533772385,0.0348564410465402
61,ATR_21_EA50,Exponential MA,volatility,2.011294330257497,moderate,moderate,moderate,0.19831162699698507,0.2384524931707429,0.24347804342771776,0.1845799731650106,0.20779220538849988,0.17287511433349312,0.03068688894177468
62,ATR_21_MA10,Simple MA,volatility,2.011294330307447,moderate,moderate,moderate,0.1868541993494879,0.2114834817094458,0.2471558557763854,0.16658944655597827,0.17691147055558046,0.16248100234568955,0.03593195224329822
63,ATR_21_MA25,Simple MA,volatility,2.0112943302599695,moderate,moderate,moderate,0.1875722744381861,0.2276948205549552,0.23309654592604526,0.1769493816224509,0.192724410513562,0.16314789096222349,0.030421292432461024
64,ATR_21_MA5,Simple MA,volatility,2.0112943302252475,moderate,moderate,moderate,0.162106093952689,0.19282644265497514,0.21553957944071092,0.14269952972279226,0.15112679396046635,0.13028036513624727,0.03287064524189012
65,ATR_21_MA50,Simple MA,volatility,2.011294330253274,moderate,moderate,moderate,0.20378430157074073,0.2439016238535916,0.2712901632125437,0.1877557631693423,0.21317802647096956,0.20085702482512918,0.03894201892404519
66,ATR_7,Raw,volatility,9.345968444599476,fast,fast,fast,0.18671689211445863,0.2098915491209212,0.2548335341842749,0.16381851663001815,0.17204612180586118,0.18201270510257023,0.03836823052725813
67,ATR_7_EA10,Exponential MA,volatility,2.8389733494954834,moderate,moderate,moderate,0.1395735310007121,0.16787049913741597,0.20119642780831573,0.1204034271624235,0.11566940134381803,0.10780506426812182,0.025644902089112923
68,ATR_7_EA25,Exponential MA,volatility,4.085530771775191,fast,moderate,moderate,0.16358699021081313,0.20366911525962653,0.21322438792466916,0.14272635759529806,0.15726398921454618,0.13782344159248514,0.03148441409761926
69,ATR_7_EA5,Exponential MA,volatility,2.820176605532168,moderate,moderate,moderate,0.13972925929967936,0.15946026500108734,0.2039716612373884,0.11738622065160192,0.10693791602847431,0.10156157489806789,0.02917172670304709
70,ATR_7_EA50,Exponential MA,volatility,12.65800737474135,fast,fast,fast,0.16703824819367416,0.19308848145091212,0.22690162716594475,0.14921825040018016,0.15140423194666164,0.1336993961674146,0.03046121752033732
