,indicator,cluster
0,QQQ_SMA_10,20
1,QQQ_EMA_10,20
2,QQQ_SMA_25,20
3,QQQ_EMA_25,20
4,QQQ_SMA_50,15
5,QQQ_EMA_50,15
6,num_days_50,14
7,QQQ_SMA_100,14
8,QQQ_EMA_100,14
9,num_days_100,14
10,QQQ_SMA_200,14
11,QQQ_EMA_200,14
12,num_days_200,14
13,Rel_Max_10,20
14,Rel_Min_10,20
15,Max_10_Rows_Since,1
16,Min_10_Rows_Since,20
17,Rel_Max_30,15
18,Rel_Min_30,15
19,Max_30_Rows_Since,13
20,Min_30_Rows_Since,15
21,Rel_Max_60,15
22,Rel_Min_60,15
23,Max_60_Rows_Since,13
24,Min_60_Rows_Since,14
25,Rel_Max_120,14
26,Rel_Min_120,14
27,Max_120_Rows_Since,13
28,Min_120_Rows_Since,14
29,50_SMA_100,14
30,50_EMA_100,14
31,50_ESMA_100,14
32,50_SMA_200,14
33,50_EMA_200,14
34,50_ESMA_200,14
35,100_SMA_200,14
36,100_EMA_200,14
37,100_ESMA_200,14
38,10_SMA_25,15
39,10_EMA_25,15
40,10_ESMA_25,15
41,10_SMA_50,15
42,10_EMA_50,15
43,10_ESMA_50,15
44,10_SMA_100,14
45,10_EMA_100,14
46,10_ESMA_100,14
47,10_SMA_200,14
48,10_EMA_200,14
49,10_ESMA_200,14
50,25_SMA_50,15
51,25_EMA_50,14
52,25_ESMA_50,15
53,25_SMA_100,14
54,25_EMA_100,14
55,25_ESMA_100,14
56,25_SMA_200,14
57,25_EMA_200,14
58,25_ESMA_200,14
59,QQQ_EMA_10_r5,20
60,QQQ_SMA_10_r5,20
61,QQQ_EMA_25_r5,20
62,QQQ_SMA_25_r5,20
63,QQQ_EMA_50_r5,15
64,QQQ_SMA_50_r5,15
65,QQQ_EMA_100_r5,14
66,QQQ_SMA_100_r5,14
67,QQQ_EMA_200_r5,14
68,QQQ_SMA_200_r5,14
69,RSI_7,20
70,RSI_14,15
71,RSI_21,15
72,MACD,15
73,Signal_Line,15
74,BB_Upper,13
75,BB_Lower,1
76,BB_Mid,12
77,OBV,12
78,OBV_ROC5,11
79,OBV_Z5,20
80,OBV_ROC10,11
81,OBV_Z10,20
82,UpMask,20
83,DownMask,3
84,UpVolume,20
85,DownVolume,3
86,Vol_Ratio_10,11
87,Vol_Ratio_25,15
88,Vol_Ratio_50,14
89,Vol_Ratio_100,14
90,CMF_20,15
91,CMF_10,15
92,VROC_3,3
93,VROC_5,3
94,VROC_10,3
95,Vol_Spike_10,3
96,Vol_Spike_20,3
97,Vol_Spike_40,3
98,ADL,12
99,ATR_7,12
100,ATR_14,12
101,ATR_21,12
102,plus_DI,15
103,minus_DI,1
104,ADX,13
105,vol_5,12
106,vol_10,12
107,vol_25,12
108,Price_Vol_Ratio_5,18
109,Price_Vol_Ratio_10,17
110,Price_Vol_Ratio_25,4
111,VIX,13
112,VIX_rolling_std,13
113,VIX_crossover,2
114,VIX_5_change,3
115,VIX_1_change,3
116,VIX_10_change,2
117,CCI_14,20
118,Williams_%R_14,20
119,Zscore_5,20
120,Zscore_10,20
121,Zscore_25,15
122,Zscore_50,15
123,RSI_7_MA5,3
124,RSI_14_MA5,1
125,RSI_21_MA5,1
126,MACD_MA5,9
127,Signal_Line_MA5,6
128,CCI_14_MA5,11
129,Williams_%R_14_MA5,8
130,BB_Upper_MA5,20
131,BB_Lower_MA5,20
132,BB_Mid_MA5,4
133,OBV_MA5,5
134,OBV_ROC5_MA5,11
135,OBV_ROC10_MA5,11
136,OBV_Z5_MA5,11
137,OBV_Z10_MA5,7
138,CMF_20_MA5,11
139,ADL_MA5,11
140,VROC_5_MA5,11
141,Vol_Spike_10_MA5,19
142,Vol_Spike_20_MA5,19
143,Vol_Spike_40_MA5,19
