,5029
Date,2025-07-03
Close,556.219970703125
High,557.2000122070312
Low,553.1799926757812
Volume,26443500
QQQ_SMA_10,1.023
QQQ_EMA_10,1.02
QQQ_SMA_25,1.041
QQQ_EMA_25,1.041
QQQ_SMA_50,1.08
QQQ_EMA_50,1.069
num_days_50,45
QQQ_SMA_100,1.115
QQQ_EMA_100,1.094
num_days_100,35
QQQ_SMA_200,1.108
QQQ_EMA_200,1.122
num_days_200,35
Rel_Max_10,1.0
Rel_Min_10,1.056
Max_10_Rows_Since,0.0
Min_10_Rows_Since,8.0
Rel_Max_30,1.0
Rel_Min_30,1.095
Max_30_Rows_Since,0.0
Min_30_Rows_Since,27.0
Rel_Max_60,1.0
Rel_Min_60,1.351
Max_60_Rows_Since,0.0
Min_60_Rows_Since,59.0
Rel_Max_120,1.0
Rel_Min_120,1.376
Max_120_Rows_Since,0.0
Min_120_Rows_Since,60.0
50_SMA_100,1.032
50_EMA_100,1.023
50_ESMA_100,1.042
50_SMA_200,1.026
50_EMA_200,1.049
50_ESMA_200,1.036
100_SMA_200,0.994
100_EMA_200,1.025
100_ESMA_200,1.013
10_SMA_25,1.018
10_EMA_25,1.021
10_ESMA_25,1.021
10_SMA_50,1.056
10_EMA_50,1.049
10_ESMA_50,1.059
10_SMA_100,1.09
10_EMA_100,1.073
10_ESMA_100,1.093
10_SMA_200,1.084
10_EMA_200,1.1
10_ESMA_200,1.087
25_SMA_50,1.037
25_EMA_50,1.027
25_ESMA_50,1.037
25_SMA_100,1.07
25_EMA_100,1.05
25_ESMA_100,1.07
25_SMA_200,1.064
25_EMA_200,1.077
25_ESMA_200,1.064
QQQ_EMA_10_r5,1.0
QQQ_SMA_10_r5,1.0
QQQ_EMA_25_r5,1.05
QQQ_SMA_25_r5,1.05
QQQ_EMA_50_r5,1.05
QQQ_SMA_50_r5,1.1
QQQ_EMA_100_r5,1.1
QQQ_SMA_100_r5,1.1
QQQ_EMA_200_r5,1.1
QQQ_SMA_200_r5,1.1
RSI_7,82.0
RSI_14,69.0
RSI_21,69.0
MACD,0.0186
Signal_Line,0.0172
BB_Upper,1.0006922248699346
BB_Lower,0.9298119938883638
BB_Mid_raw,9.513922285480705
BB_Mid,-0.583
OBV,1.8019549194437614
OBV_ROC5,0.016
OBV_Z5,1.078
OBV_ROC10,0.035
OBV_Z10,1.108
UpMask,True
DownMask,False
UpVolume,26443500
DownVolume,0
Vol_Ratio_10,0.95
Vol_Ratio_25,0.111
Vol_Ratio_50,2.034
Vol_Ratio_100,1.622
CMF_20,0.086
CMF_10,0.295
VROC_3,-0.419
VROC_5,-0.396
VROC_10,-0.399
Vol_Spike_10,0.581
Vol_Spike_20,0.596
Vol_Spike_40,0.581
ADL,1.6073186221752553
ATR_7,-1.7983823567387038
ATR_14,-0.9588532172503846
ATR_21,-0.9643695593365186
plus_DI,37.0
minus_DI,16.0
ADX,26.0
vol_5,-0.642
vol_10,-1.21
vol_25,-0.941
Price_Vol_Ratio_5,0.557
Price_Vol_Ratio_10,1.56
Price_Vol_Ratio_25,1.997
VIX,19.469999313354492
VIX_rolling_std,0.4
VIX_crossover,-1
VIX_5_change,0.025
VIX_1_change,-0.014
VIX_10_change,-0.121
CCI_14,123.02
Williams_%R_14,-2.921
Zscore_5,1.519
Zscore_10,1.327
Zscore_25,2.089
Zscore_50,1.621
RSI_7_MA5,1.0585365853658537
RSI_14_MA5,0.9768115942028986
RSI_21_MA5,1.008695652173913
MACD_MA5,0.9591397849462369
Signal_Line_MA5,0.9755813953488371
CCI_14_MA5,1.0533149081450177
Williams_%R_14_MA5,2.8007531667237173
BB_Upper_MA5,1.000417676586065
BB_Lower_MA5,1.0098202130165252
BB_Mid_MA5,1.491252144082332
OBV_MA5,0.9577348837018613
OBV_ROC5_MA5,1.6124999999999987
OBV_ROC10_MA5,0.6342857142857352
OBV_Z5_MA5,0.8484230055658633
OBV_Z10_MA5,1.2267148014440439
CMF_20_MA5,1.2883720930232563
ADL_MA5,0.8961963182287893
VROC_5_MA5,0.25808080808080897
Vol_Spike_10_MA5,1.6881239242685022
Vol_Spike_20_MA5,1.6791946308724834
Vol_Spike_40_MA5,1.6888123924268497
Vol_Ratio_10_MA5,0.12378947368420902
Vol_Ratio_25_MA5,-2.187387387387386
Vol_Ratio_50_MA5,0.9282202556538849
Vol_Ratio_100_MA5,0.9834771886559802
ATR_7_MA5,0.7022544306717775
ATR_14_MA5,1.1103268098401622
ATR_21_MA5,0.962192571987898
vol_5_MA5,1.353582554517134
vol_10_MA5,0.7633057851239673
vol_25_MA5,0.9634431455897986
Price_Vol_Ratio_5_MA5,1.874685816876124
Price_Vol_Ratio_10_MA5,0.6994871794871799
Price_Vol_Ratio_25_MA5,0.835753630445669
plus_DI_MA5,0.9837837837837837
minus_DI_MA5,1.075
ADX_MA5,0.9615384615384616
VIX_MA5,1.0019517261505735
VIX_rolling_std_MA5,1.1999999999999982
VIX_1_change_MA5,-0.3571428571428578
VIX_5_change_MA5,-1.1119999999999997
Zscore_5_MA5,0.6250164581961829
Zscore_10_MA5,0.9591559909570464
Zscore_25_MA5,0.9421732886548588
Zscore_50_MA5,0.8877236273904995
RSI_7_MA10,0.8865853658536585
RSI_14_MA10,0.9391304347826086
RSI_21_MA10,0.9710144927536232
MACD_MA10,0.8844086021505376
Signal_Line_MA10,0.9819767441860464
CCI_14_MA10,1.0323110063404326
Williams_%R_14_MA10,4.718897637795277
BB_Upper_MA10,1.002978427833753
BB_Lower_MA10,1.0202727528990725
BB_Mid_MA10,2.0542024013722138
OBV_MA10,0.696309365342759
OBV_ROC5_MA10,0.6937499999999871
OBV_ROC10_MA10,0.24571428571428625
OBV_Z5_MA10,0.561688311688312
OBV_Z10_MA10,0.503971119133574
CMF_20_MA10,1.0069767441860467
ADL_MA10,0.7273037987052958
VROC_5_MA10,-0.11868686868686829
Vol_Spike_10_MA10,1.812736660929432
Vol_Spike_20_MA10,1.7543624161073827
Vol_Spike_40_MA10,1.7931153184165234
Vol_Ratio_10_MA10,-0.3970526315789466
Vol_Ratio_25_MA10,-6.5153153153153145
Vol_Ratio_50_MA10,0.7476892822025566
Vol_Ratio_100_MA10,0.7504932182490752
ATR_7_MA10,0.548836477293949
ATR_14_MA10,0.9940200610402964
ATR_21_MA10,0.9459591270881196
vol_5_MA10,0.9221183800623052
vol_10_MA10,0.6212396694214878
vol_25_MA10,1.0246546227417643
Price_Vol_Ratio_5_MA10,0.9757630161579895
Price_Vol_Ratio_10_MA10,0.5578205128205128
Price_Vol_Ratio_25_MA10,0.8103154732098146
plus_DI_MA10,0.927027027027027
minus_DI_MA10,1.18125
ADX_MA10,0.9115384615384615
VIX_MA10,1.0188495229228145
VIX_rolling_std_MA10,2.125
VIX_1_change_MA10,0.8928571428571414
VIX_5_change_MA10,-2.1
Zscore_5_MA10,0.5653719552337065
Zscore_10_MA10,0.8394875659382063
Zscore_25_MA10,0.826376256582097
Zscore_50_MA10,0.8066625539790252
RSI_7_MA25,0.8282926829268293
RSI_14_MA25,0.9391304347826086
RSI_21_MA25,0.9843478260869566
MACD_MA25,1.021075268817204
Signal_Line_MA25,1.1516279069767443
CCI_14_MA25,0.8847374410664932
Williams_%R_14_MA25,5.451612461485793
BB_Upper_MA25,1.0115947217257273
BB_Lower_MA25,1.0164084789413108
BB_Mid_MA25,2.821955403087479
OBV_MA25,0.7143661415437366
OBV_ROC5_MA25,0.4475000000000041
OBV_ROC10_MA25,0.24114285714285716
OBV_Z5_MA25,0.336883116883117
OBV_Z10_MA25,0.4523826714801446
CMF_20_MA25,1.672093023255814
ADL_MA25,0.7983418511954826
VROC_5_MA25,0.04181818181818179
Vol_Spike_10_MA25,1.748089500860585
Vol_Spike_20_MA25,1.6990604026845637
Vol_Spike_40_MA25,1.7732874354561101
Vol_Ratio_10_MA25,-0.45031578947368417
Vol_Ratio_25_MA25,0.09693693693693704
Vol_Ratio_50_MA25,0.7033824975417897
