,r,pair,rank_score,weighted_precision,total_count,pos_count_ts,neg_count_ts,pos_acc_ts,neg_acc_ts,ks_ts,bal_accuracy,f1_ts,accuracy_ts,best_n_estimators,indicator_1,indicator_2
0,5,QQQ_EMA_50 + 100_SMA_200,0.4103567837599965,0.6494464944649446,271,171,100,0.6608187134502924,0.63,0.34628099173553717,0.6454093567251462,0.7040498442367601,0.6494464944649446,86,QQQ_EMA_50,100_SMA_200
1,5,50_SMA_200 + 25_SMA_50,0.39780087217874616,0.6784140969162996,227,139,88,0.7194244604316546,0.6136363636363636,0.3484191943508265,0.6665304120340092,0.7326007326007327,0.6784140969162996,78,50_SMA_200,25_SMA_50
2,5,num_days_100 + Median Volume,0.3898003245424223,0.6339622641509434,265,149,116,0.6510067114093959,0.6120689655172413,0.3005839917554105,0.6315378384633186,0.6666666666666667,0.6339622641509434,58,num_days_100,Median Volume
3,5,Rel_Max_60 + 100_SMA_200,0.38833774476953253,0.6329588014981273,267,149,118,0.6711409395973155,0.5847457627118644,0.301501535661472,0.62794335115459,0.6711409395973155,0.6329588014981273,72,Rel_Max_60,100_SMA_200
4,5,100_ESMA_200 + 25_ESMA_50,0.38307268672732764,0.6697674418604651,215,126,89,0.6904761904761905,0.6404494382022472,0.3248424369747899,0.6654628143392188,0.7102040816326531,0.6697674418604651,27,100_ESMA_200,25_ESMA_50
5,5,100_SMA_200 + QQQ_SMA_100_r5,0.37916995990788765,0.645021645021645,231,131,100,0.6870229007633588,0.59,0.35442748091603055,0.6385114503816793,0.6870229007633588,0.645021645021645,62,100_SMA_200,QQQ_SMA_100_r5
6,5,50_SMA_200 + ADL,0.3787586558920921,0.6201716738197425,466,398,68,0.6306532663316583,0.5588235294117647,0.14169471963066269,0.5947383978717116,0.7393225331369662,0.6201716738197425,25,50_SMA_200,ADL
7,5,QQQ_EMA_200 + ADL,0.37796502509535235,0.6244541484716157,458,448,10,0.6160714285714286,1.0,0.06131549609810479,0.8080357142857143,0.7624309392265194,0.6244541484716157,9,QQQ_EMA_200,ADL
8,5,Rel_Max_30 + 100_SMA_200,0.37628651129322105,0.6649214659685864,191,113,78,0.6548672566371682,0.6794871794871795,0.3980017566974089,0.6671772180621738,0.6981132075471699,0.6649214659685864,30,Rel_Max_30,100_SMA_200
9,5,num_days_50 + 100_SMA_200,0.3745181701801989,0.6501901140684411,263,130,133,0.7153846153846154,0.5864661654135338,0.3336662749706228,0.6509253903990746,0.6690647482014389,0.6501901140684411,70,num_days_50,100_SMA_200
10,5,50_EMA_200 + MACD,0.37021293248047393,0.6199261992619927,271,140,131,0.6785714285714286,0.5572519083969466,0.3150548354935194,0.6179116684841877,0.6484641638225256,0.6199261992619927,32,50_EMA_200,MACD
11,5,50_EMA_200 + ADL,0.3634514325168527,0.6255144032921811,243,155,88,0.6193548387096774,0.6363636363636364,0.2595108695652174,0.627859237536657,0.6784452296819788,0.6255144032921811,12,50_EMA_200,ADL
