,r,class_balance,flag,indicator,auc_rs,auc_ts,log_loss_rs,log_loss_ts,coef_rs,coef_ts,ks_rs,ks_ts
0,5,N,keep,100_EMA_200,0.4945487248438755,0.42424242424242425,0.6765730984110846,0.6754290884040616,-0.5170157364770975,0.02118499901058142,0.05153143121146249,0.11879053258363603
1,10,N,keep,100_EMA_200,0.5032714860807721,0.3959605979916114,0.6582633973982105,0.6531555963875021,-0.07207361886352287,0.3855067914536732,0.04986344833538486,0.2017264484240937
2,20,N,keep,100_EMA_200,0.5278633379265623,0.6549365263097972,0.6426325314021862,0.6163072781793985,-0.009966959723749095,-0.08176867803983796,0.1022683156785536,0.29486328013814306
3,30,N,keep,100_EMA_200,0.5444685466377441,0.7012988223017291,0.6268335282809758,0.6205620117549603,-0.3168960980170304,-0.3004900804454335,0.13115556845601448,0.31648777579010134
4,45,N,keep,100_EMA_200,0.5125048266501293,0.6698697773231568,0.6050276088548576,0.5965951829662933,-0.6485167714164434,-0.24001429379667455,0.07793548085136258,0.370564167125659
5,60,N,keep,100_EMA_200,0.4855709002340798,0.405515350877193,0.5802344035286098,0.5534659736906978,0.37269181368402704,0.41203996339739984,0.10205680802958689,0.35482456140350876
6,90,N,keep,100_EMA_200,0.5375063860917724,0.5767452694954128,0.5113611428335929,0.42154430354506317,0.19278060185465246,0.12752751690926642,0.08729522940050848,0.40954701834862384
7,5,N,keep,100_ESMA_200,0.5017137656050402,0.4114295666019804,0.6764517366036249,0.6756985551100829,-0.3660385680041231,0.12242173478777042,0.06191471844292153,0.24232472508334577
8,10,N,keep,100_ESMA_200,0.5076608669027123,0.4006247933308968,0.6582062580320736,0.6544877905987568,0.05397805309617938,0.6854034959454048,0.06148421076425778,0.2668859534624689
9,20,N,keep,100_ESMA_200,0.4980716970345942,0.36304294199130915,0.642760889979549,0.61877864441762,0.90288283077878,1.0989422965254518,0.07548111585602574,0.3327956887227462
