,r,class_balance,flag,indicator,auc_rs,auc_ts,log_loss_rs,log_loss_ts,f1_rs,f1_ts,accuracy_rs,accuracy_ts,pos_acc_rs,pos_acc_ts,pos_count_rs,neg_acc_rs,neg_acc_ts,pos_count_ts,neg_count_rs,neg_count_ts,coef_rs,coef_ts,ks_rs,ks_ts
0,5,Y,no_signal,100_EMA_200,0.49832868365821825,0.48645734852631406,0.6936492367385478,0.7000377767713835,0.550125313283208,0.5114503816793893,0.5041436464088398,0.488,0.5122520420070011,0.4511784511784512,857,0.49238578680203043,0.541871921182266,297,591,203,-0.3558988820266919,0.10916205461135378,0.042490725329574104,0.05473453749315818
1,10,Y,keep,100_EMA_200,0.5084736010389845,0.44831967141788054,0.6931630781463912,0.7066004968789417,0.5738601823708207,0.5784313725490194,0.5152143845089903,0.484,0.5169769989047097,0.5514018691588785,913,0.5121951219512195,0.36312849162011174,321,533,179,-0.05682516040970455,0.28508221288508007,0.03464857211551305,0.11531700864964584
2,20,Y,keep,100_EMA_200,0.49590662235551597,0.39070950112905367,0.6929239941760282,0.7050807480451922,0.5758293838862559,0.5298013245033113,0.5038115038115039,0.432,0.512118018967334,0.4584527220630373,949,0.48785425101214575,0.3708609271523179,349,494,151,0.13872819773677286,-0.1445209498065726,0.03263823415229327,0.22220535494032145
3,30,Y,no_signal,100_EMA_200,0.5101557878130547,0.5154293381037567,0.6900561589608702,0.6996673306494113,0.6411637931034482,0.5247706422018349,0.5375,0.482,0.6077630234933605,0.41569767441860467,979,0.3882863340563991,0.6282051282051282,344,461,156,0.15237176818981407,-0.23886866667415693,0.04896315023298377,0.056872391174716756
4,45,Y,no_signal,100_EMA_200,0.510096767021986,0.49820992997088676,0.6951338000637545,0.6959406696545158,0.6641988365943945,0.5316901408450704,0.557799442896936,0.468,0.6187192118226601,0.42178770949720673,1015,0.41092636579572445,0.5845070422535211,358,421,142,-0.0861178459600293,-0.2511811073574938,0.045032353182078794,0.10992210244708474
5,60,Y,keep,100_EMA_200,0.48128110042473754,0.33072368421052634,0.695475182906818,0.6932360697199442,0.6198704103671705,0.7110519307589879,0.5080363382250175,0.566,0.5471877979027645,0.7026315789473684,1049,0.4005235602094241,0.13333333333333333,380,382,120,0.7736117159877006,0.10403649831113504,0.0735330082501909,0.27982456140350875
6,90,Y,keep,100_EMA_200,0.5283149484427005,0.32067087155963303,0.6842336441840359,0.6286505125046457,0.5927576601671309,0.8038277511961722,0.4859353023909986,0.672,0.4712134632418069,0.7706422018348624,1129,0.5426621160409556,0.0,436,293,64,-0.6457069374157458,-1.048028421354632,0.06740085309117072,0.38345756880733944
7,5,Y,no_signal,100_ESMA_200,0.5036180592986592,0.48431772569703607,0.6935564139930362,0.7002860040907974,0.5670166769610872,0.5179584120982987,0.5158839779005525,0.49,0.5355892648774796,0.4612794612794613,857,0.4873096446700508,0.5320197044334976,297,591,203,-0.19745298909771924,0.22318459116364067,0.03771666400124781,0.05903036937519696
8,10,Y,keep,100_ESMA_200,0.5094928580088733,0.43831253589516,0.6931301314644647,0.7067311887705973,0.5755743651753324,0.577922077922078,0.5145228215767634,0.48,0.5213581599123768,0.5545171339563862,913,0.5028142589118199,0.3463687150837989,321,533,179,0.06351882449975428,0.605643517639624,0.02806039097546591,0.13743712908334638
9,20,Y,keep,100_ESMA_200,0.49145275444426906,0.3709747813051481,0.6931079325291979,0.7030812550835853,0.6059907834101382,0.5614035087719298,0.525987525987526,0.45,0.5542676501580611,0.504297994269341,949,0.4716599190283401,0.32450331125827814,349,494,151,1.15784076713746,1.1834112611283056,0.07146026288059454,0.2725858175676958
10,30,Y,no_signal,100_ESMA_200,0.5149328966872655,0.5069506559332141,0.6890247687110226,0.6946799772449525,0.6314067611777535,0.5758620689655173,0.5305555555555556,0.508,0.5914198161389173,0.48546511627906974,979,0.40130151843817785,0.5576923076923077,344,461,156,1.2736384123275304,1.4553246518501488,0.06316374892260242,0.048971377459749554
11,45,Y,no_signal,100_ESMA_200,0.5245568257608555,0.4955149893776064,0.6943542475439971,0.6872637395785846,0.6505376344086021,0.62557781201849,0.5473537604456824,0.514,0.5960591133004927,0.5670391061452514,1015,0.42992874109263657,0.38028169014084506,358,421,142,1.4922664100425003,1.7283450015367245,0.07344230836736365,0.09343772129986623
12,60,Y,keep,100_ESMA_200,0.51668754585519,0.36043859649122806,0.6940929981658115,0.679311542930367,0.6312910284463895,0.792079207920792,0.5290006988120196,0.664,0.550047664442326,0.8421052631578947,1049,0.4712041884816754,0.1,380,382,120,2.535813268717219,2.1829105288436423,0.06909597272895153,0.22543859649122808
13,90,Y,keep,100_ESMA_200,0.5623448822087261,0.31766055045871566,0.6818275967297026,0.6102844917219743,0.6902564102564102,0.8558352402745996,0.5752461322081576,0.748,0.5961027457927369,0.8577981651376146,1129,0.4948805460750853,0.0,436,293,64,2.066643907314315,1.8873979877232738,0.10305716194524134,0.34375
14,5,Y,no_signal,100_SMA_200,0.5036713676757745,0.48554510623476144,0.6935564033801113,0.6999983651886004,0.5806451612903226,0.5161290322580646,0.524171270718232,0.49,0.5565927654609102,0.45791245791245794,857,0.47715736040609136,0.5369458128078818,297,591,203,-0.13905335958073392,0.17982658949575925,0.04016687496421428,0.05903036937519696
15,10,Y,keep,100_SMA_200,0.5114347891309396,0.4369028350650028,0.6929530331864227,0.7052677860332048,0.5769462884731443,0.5910543130990416,0.5152143845089903,0.488,0.5235487404162102,0.5763239875389408,913,0.50093808630394,0.329608938547486,321,533,179,0.4471980209518498,0.8873986617589877,0.04116277492710052,0.138081066499591
16,20,Y,keep,100_SMA_200,0.4887757409248175,0.3811837036755915,0.6935984173689774,0.7011988934132478,0.589803012746234,0.598473282442748,0.5093555093555093,0.474,0.5363540569020021,0.5616045845272206,949,0.4574898785425101,0.271523178807947,349,494,151,1.243226552459693,1.0143647598050862,0.043397482114136764,0.2484487371676882
17,30,Y,no_signal,100_SMA_200,0.5156574396380387,0.5127273404889684,0.6894548900831619,0.6935775887504088,0.6129927817878956,0.5801011804384485,0.5159722222222223,0.502,0.5638406537282942,0.5,979,0.41431670281995664,0.5064102564102564,344,461,156,1.1714672875426602,1.187797570479421,0.06623917893995157,0.07356887298747763
18,45,Y,no_signal,100_SMA_200,0.5204731872272211,0.5075143599024313,0.6949599133110794,0.6865232309096082,0.6373626373626373,0.661698956780924,0.5403899721448467,0.546,0.5714285714285714,0.6201117318435754,1015,0.4655581947743468,0.3591549295774648,358,421,142,1.3333024017733814,1.382463365937745,0.07691047587845032,0.1155086946258557
19,60,Y,keep,100_SMA_200,0.5193303021077167,0.354451754385965,0.6948653052486623,0.6793357102150074,0.6334246575342466,0.7835820895522388,0.5324947589098532,0.652,0.5510009532888466,0.8289473684210527,1049,0.4816753926701571,0.09166666666666666,380,382,120,2.276132104516182,1.8225054341144928,0.06538762920557599,0.24210526315789474
20,90,Y,keep,100_SMA_200,0.5557365997877852,0.30966886467889904,0.682999309708853,0.6130209886423047,0.656448202959831,0.847926267281106,0.5428973277074542,0.736,0.550044286979628,0.8440366972477065,1129,0.515358361774744,0.0,436,293,64,1.5528787236288704,1.3940880169191843,0.08648808786053078,0.3719896788990826
21,5,Y,no_signal,10_EMA_100,0.5038747292625477,0.4861256240566585,0.6935448428436353,0.7015366516331422,0.5752105896510229,0.5058365758754864,0.5124309392265194,0.492,0.5577596266044341,0.4377104377104377,857,0.4467005076142132,0.5714285714285714,297,591,203,0.05121723561769053,0.5676139985499453,0.036135182146827066,0.0556633660081936
22,10,Y,keep,10_EMA_100,0.5086462171387238,0.44259384952748915,0.6931576099575852,0.7080095843612968,0.5693430656934306,0.5719008264462809,0.5103734439834025,0.482,0.5125958378970427,0.5389408099688473,913,0.5065666041275797,0.37988826815642457,321,533,179,-0.004397897846031174,0.4268520804690632,0.033450534185180084,0.1279869124071077
23,20,Y,keep,10_EMA_100,0.4873039167587445,0.4024175031784285,0.6924787169282383,0.7108375258777246,0.612541993281075,0.4765342960288809,0.5204435204435205,0.42,0.5763962065331928,0.37822349570200575,949,0.41295546558704455,0.5165562913907285,349,494,151,1.364925901413392,1.604455841407959,0.07071155232654872,0.234311846524602
24,30,Y,no_signal,10_EMA_100,0.49590201165915904,0.5255105843768635,0.6894470779842465,0.6992828286640113,0.6545648691938069,0.4847328244274809,0.5506944444444445,0.46,0.6261491317671093,0.3691860465116279,979,0.39045553145336226,0.6602564102564102,344,461,156,1.6515869975174142,1.3436162419490423,0.06248795198074976,0.0774448419797257
25,45,Y,no_signal,10_EMA_100,0.5183576518493382,0.5456959634904398,0.693744772367291,0.6923766618286827,0.6897621509824199,0.4780114722753346,0.5821727019498607,0.454,0.6571428571428571,0.34916201117318435,1015,0.4014251781472684,0.7183098591549296,358,421,142,1.5307661016211689,1.4887416564448048,0.0782982109216854,0.15036588244551105
26,60,Y,keep,10_EMA_100,0.4963590355312214,0.38846491228070174,0.6934125597241252,0.6884393356890368,0.6568421052631579,0.710455764075067,0.5443745632424878,0.568,0.5948522402287894,0.6973684210526315,1049,0.40575916230366493,0.15833333333333333,380,382,120,2.200103661854749,1.7259493228204417,0.06583931842342994,0.17280701754385966
27,90,Y,keep,10_EMA_100,0.5223052204221924,0.3104572821100917,0.6838146532576476,0.6250665192310583,0.6569037656903766,0.8179669030732861,0.5386779184247539,0.692,0.5562444641275465,0.7935779816513762,1129,0.4709897610921502,0.0,436,293,64,0.6174149643703353,0.35075852982325467,0.07844992548300014,0.3747133027522936
28,5,Y,no_signal,10_EMA_200,0.5017937281707132,0.485279726659037,0.6936679315702593,0.7007136629926455,0.547875713379835,0.5180952380952382,0.5075966850828729,0.494,0.5040840140023337,0.45791245791245794,857,0.5126903553299492,0.5467980295566502,297,591,203,-0.15217913243177167,0.2793515067214426,0.05159263712592821,0.05360667429632947
29,10,Y,keep,10_EMA_200,0.5081694679108726,0.44217616039262775,0.6931869678560039,0.7073553991429978,0.5684468999386127,0.5737704918032787,0.5138312586445366,0.48,0.5071193866374589,0.5451713395638629,913,0.525328330206379,0.36312849162011174,321,533,179,-0.055254219234598514,0.28393328379818755,0.039648274147245643,0.12025966341217216
30,20,Y,keep,10_EMA_200,0.47978481504076315,0.3987741702878612,0.6931152109832139,0.7058171666183666,0.6090395480225989,0.520408163265306,0.5204435204435205,0.436,0.5679662802950474,0.4383954154727794,949,0.4291497975708502,0.4304635761589404,349,494,151,0.6692370415050045,0.6432027494994986,0.10506904775109534,0.2523387540560542
31,30,Y,no_signal,10_EMA_200,0.49594411048504494,0.5200320512820513,0.6899856166049916,0.6976068130324026,0.6512627619559377,0.5274725274725275,0.5493055555555556,0.484,0.6189989785495403,0.4186046511627907,979,0.40130151843817785,0.6282051282051282,344,461,156,0.8176099077650947,0.4701815014850809,0.0717519094033267,0.06059928443649374
32,45,Y,no_signal,10_EMA_200,0.5122614464739127,0.5255921000865529,0.6947652674707463,0.6917912951075229,0.6841004184100418,0.5345132743362833,0.5793871866295265,0.474,0.6443349753694582,0.42178770949720673,1015,0.42280285035629456,0.6056338028169014,358,421,142,0.7091683430205907,0.5794116684646997,0.07310298023706165,0.15717208277598552
33,60,Y,keep,10_EMA_200,0.4900204133580223,0.35179824561403505,0.6947259200910296,0.6876340872931878,0.6506922257720981,0.7409326424870466,0.5415793151642209,0.6,0.5824594852240229,0.7526315789473684,1049,0.4293193717277487,0.11666666666666667,380,382,120,1.3720867361711593,0.8131122191246128,0.06679510279049107,0.23289473684210527
34,90,Y,keep,10_EMA_200,0.5184599618497144,0.31038560779816515,0.6843493522017919,0.6260055321153595,0.5979155238617664,0.8095238095238095,0.48452883263009844,0.68,0.48272807794508416,0.7798165137614679,1129,0.49146757679180886,0.0,436,293,64,0.08399551347323247,-0.1952255646883348,0.07579270670532079,0.39076834862385323
35,5,Y,no_signal,10_EMA_25,0.5035410583094927,0.48766814284055665,0.6935341592116296,0.7002141527207814,0.5770845830833833,0.5086705202312138,0.513121546961326,0.49,0.5612602100350058,0.4444444444444444,857,0.4433164128595601,0.5566502463054187,297,591,203,0.20598961815672373,0.36170189602531483,0.040277440487120106,0.05966064586754242
36,10,Y,keep,10_EMA_25,0.5102840151326782,0.4486851494108842,0.6930604988931646,0.707493111979188,0.5948174322732626,0.5742574257425743,0.5242047026279392,0.484,0.5531215772179627,0.5420560747663551,913,0.474671669793621,0.37988826815642457,321,533,179,0.5297733987287047,0.7096198881478062,0.03677750401229684,0.11853669573086897
37,20,Y,keep,10_EMA_25,0.49940700417656775,0.4090589954268582,0.6927047516046997,0.7071789637589752,0.6018202502844141,0.5259515570934256,0.5148995148995149,0.452,0.5574288724973656,0.4355300859598854,949,0.4331983805668016,0.4900662251655629,349,494,151,1.054913223151369,1.3919720633579475,0.0290333314846653,0.20668323877113418
38,30,Y,no_signal,10_EMA_25,0.5070271803314286,0.5190816935002982,0.6900607149031133,0.699532460980848,0.6390977443609023,0.516728624535316,0.5333333333333333,0.48,0.6077630234933605,0.40406976744186046,979,0.3752711496746204,0.6474358974358975,344,461,156,1.1104765565420367,0.8060190304234762,0.0558607104952373,0.05955575432319618
39,45,Y,no_signal,10_EMA_25,0.5113277090670817,0.5177826736958062,0.6949339303631635,0.6949084969925743,0.6787190082644629,0.5117117117117117,0.5668523676880223,0.458,0.6472906403940887,0.39664804469273746,1015,0.37292161520190026,0.6126760563380281,358,421,142,0.8973320007577389,0.7839075628426797,0.043871616957045736,0.14041230623967269
40,60,Y,keep,10_EMA_25,0.488560533841754,0.3399780701754386,0.6949806157512768,0.6934644994862837,0.6711133914828117,0.706989247311828,0.5520614954577219,0.564,0.6234509056244042,0.6921052631578948,1049,0.35602094240837695,0.15833333333333333,380,382,120,1.18668769171505,0.9450055310995473,0.05125300086345011,0.2692982456140351
41,90,Y,keep,10_EMA_25,0.5199261178305729,0.30805619266055045,0.6844271902323597,0.6246092224315666,0.5701408450704225,0.8137603795966785,0.46343178621659636,0.686,0.4481842338352524,0.786697247706422,1129,0.5221843003412969,0.0,436,293,64,-0.36217957322181626,-0.5786662831321046,0.06946254047043958,0.3903383027522936
42,5,Y,no_signal,10_EMA_50,0.5062538623893604,0.4878008326284188,0.6934934140845456,0.7009371068648251,0.5935483870967743,0.509727626459144,0.5214088397790055,0.496,0.5904317386231038,0.44107744107744107,857,0.4213197969543147,0.5763546798029556,297,591,203,0.22267614995012114,0.6159176290734454,0.032869550452430174,0.05591215936043522
43,10,Y,keep,10_EMA_50,0.5101833224078302,0.44548286604361365,0.6930676856403369,0.7080408558224378,0.5995316159250585,0.5671641791044776,0.5269709543568465,0.478,0.56078860898138,0.5327102803738317,913,0.46904315196998125,0.37988826815642457,321,533,179,0.3201325447064573,0.6026351343732413,0.04193954737592704,0.11992899284707356
44,20,Y,keep,10_EMA_50,0.4946566383536047,0.42014079963566664,0.692399259880041,0.7108631176270184,0.6106442577030813,0.49077490774907745,0.5183645183645184,0.448,0.5742887249736565,0.38108882521489973,949,0.4109311740890688,0.6026490066225165,349,494,151,1.4957252342824303,1.8860803201128644,0.061588375575397925,0.20916905444126074
45,30,Y,no_signal,10_EMA_50,0.49861406233728245,0.5273740310077519,0.689831540723791,0.7001954532191925,0.6254071661237786,0.47692307692307695,0.5208333333333334,0.456,0.5883554647599591,0.36046511627906974,979,0.3774403470715835,0.6666666666666666,344,461,156,1.6853939437161258,1.2814958428749899,0.057651018459227286,0.07938282647584974
46,45,Y,no_signal,10_EMA_50,0.5213133168739689,0.5487056416712566,0.6942524933208759,0.6945661448023909,0.69769820971867,0.4630350194552529,0.5884401114206128,0.448,0.6719211822660098,0.3324022346368715,1015,0.38717339667458434,0.7394366197183099,358,421,142,1.4990117840724777,1.3789561972657407,0.06780010062834209,0.16555197104414196
47,60,Y,keep,10_EMA_50,0.4906368069315578,0.35875,0.694159023954492,0.6926653346773641,0.6488749345892203,0.6991869918699187,0.5310971348707197,0.556,0.5910390848427073,0.6789473684210526,1049,0.36649214659685864,0.16666666666666666,380,382,120,1.9081812748795088,1.5283690551820817,0.06217838979032637,0.2206140350877193
48,90,Y,keep,10_EMA_50,0.5197749677294534,0.30787700688073394,0.6844364760642643,0.6246834493829753,0.5727119595732735,0.8137603795966785,0.4648382559774965,0.686,0.45172719220549157,0.786697247706422,1129,0.515358361774744,0.0,436,293,64,-0.08384678026784863,-0.3661563392062658,0.07034828006299937,0.39263188073394495
49,5,Y,no_signal,10_ESMA_100,0.5031678996696854,0.48473238128410545,0.6935703957736552,0.701884398547254,0.5772946859903382,0.50682261208577,0.5165745856353591,0.494,0.5577596266044341,0.4377104377104377,857,0.45685279187817257,0.5763546798029556,297,591,203,-0.0006665128709177772,0.4562014749595539,0.0388697044544085,0.057504436814781644
50,10,Y,no_signal,10_ESMA_100,0.5114347891309395,0.4504951356619502,0.693278817773499,0.7069649697635307,0.5373324824505425,0.5737704918032787,0.49861687413554634,0.48,0.4611171960569551,0.5451713395638629,913,0.5628517823639775,0.36312849162011174,321,533,179,-0.35207657754016985,-0.000958029433780413,0.0388776665591241,0.11683113176351834
51,20,Y,keep,10_ESMA_100,0.4898529455681028,0.3921706294237083,0.6923073716064176,0.7126906684059168,0.6025857223159078,0.4701627486437613,0.51004851004851,0.414,0.5648050579557429,0.37249283667621774,949,0.4048582995951417,0.5099337748344371,349,494,151,0.9651243553325821,1.337607235007568,0.07248627363984249,0.2345016034459857
52,30,Y,no_signal,10_ESMA_100,0.4947742062709524,0.5196593619558737,0.6892065232152335,0.7012909252381839,0.6329386437029063,0.44921875,0.5263888888888889,0.436,0.6006128702757916,0.33430232558139533,979,0.368763557483731,0.6602564102564102,344,461,156,1.3922247927234468,1.2640455785354747,0.07694114362568383,0.06402802623732856
53,45,Y,no_signal,10_ESMA_100,0.5155423984648327,0.5262412463608466,0.693474920720421,0.6949010599671562,0.6794805194805195,0.4579256360078278,0.5703342618384402,0.446,0.6443349753694582,0.3268156424581006,1015,0.3919239904988123,0.7464788732394366,358,421,142,1.3356700474052052,1.430201067462753,0.04829926400898635,0.13773703674561336
54,60,Y,keep,10_ESMA_100,0.49383356874410433,0.3858552631578947,0.6933065544443598,0.6909832441888202,0.6443381180223284,0.7046070460704607,0.5324947589098532,0.564,0.5776930409914204,0.6842105263157895,1049,0.4083769633507853,0.18333333333333332,380,382,120,1.914791396903388,1.6071866898275229,0.07013660479439407,0.17675438596491228
55,90,Y,keep,10_ESMA_100,0.5252073023636853,0.3151519495412844,0.6832814626431709,0.6254745034158452,0.6766066838046273,0.8207547169811321,0.5576652601969058,0.696,0.5828166519043402,0.7981651376146789,1129,0.46075085324232085,0.0,436,293,64,0.8963790072846846,0.6595041137737981,0.07415121660716391,0.36510894495412843
