,r,class_balance,flag,indicator,Weighted_Accuracy,Balanced_Accuracy,auc_rs,auc_ts,log_loss_rs,log_loss_ts,f1_rs,f1_ts,accuracy_rs,accuracy_ts,pos_acc_rs,pos_acc_ts,pos_count_rs,neg_acc_rs,neg_acc_ts,pos_count_ts,neg_count_rs,neg_count_ts,ks_rs,ks_ts
0,5,Y,keep,100_EMA_200,0.548,0.5416,0.6550839409501132,0.5528188286808977,0.6550982180875284,0.7047630380390669,0.6605616605616605,0.602112676056338,0.6160220994475138,0.548,0.6312718786464411,0.5757575757575758,857,0.5939086294416244,0.5073891625615764,297,591,203,0.23293391538183605,0.1250435388366423
1,10,Y,keep,100_EMA_200,0.594,0.5565,0.6950870170088506,0.5873231347569572,0.6300728717417257,0.6655683102501466,0.6887182516243354,0.6852713178294573,0.6355463347164592,0.594,0.6385542168674698,0.6884735202492211,913,0.6303939962476548,0.4245810055865922,321,533,179,0.29816554294955705,0.14043056788318628
2,20,Y,keep,100_EMA_200,0.614,0.5995,0.7329183073595473,0.5780375339190497,0.6023109200373236,0.7010794799818506,0.7234762979683974,0.6970172684458399,0.6604296604296604,0.614,0.6754478398314014,0.6361031518624641,949,0.631578947368421,0.5629139072847682,349,494,151,0.33805668016194335,0.20563957570352379
3,30,Y,keep,100_EMA_200,0.542,0.534,0.7499340821015734,0.5746030858676208,0.5945195997342598,0.7271910202650664,0.7616497054097482,0.6252045826513911,0.6909722222222222,0.542,0.7262512768130746,0.5552325581395349,979,0.6160520607375272,0.5128205128205128,344,461,156,0.3630558429846738,0.14445438282647585
4,45,Y,keep,100_EMA_200,0.574,0.6345,0.7978809543311141,0.6509068376740892,0.5632741572321519,0.7103390993680753,0.8148148148148147,0.6243386243386243,0.7527855153203342,0.574,0.7694581280788177,0.49441340782122906,1015,0.7125890736342043,0.7746478873239436,358,421,142,0.4909141967869136,0.2690612951451727
5,60,Y,keep,100_EMA_200,0.44,0.5689,0.7827075399657615,0.6183662280701754,0.5573913202352634,0.803895746935257,0.8044920877998978,0.46564885496183206,0.7323549965059399,0.44,0.7511916110581506,0.32105263157894737,1049,0.680628272251309,0.8166666666666667,380,382,120,0.4408836139130261,0.1881578947368421
6,90,Y,keep,100_EMA_200,0.428,0.3654,0.7808943249183034,0.3116040711009174,0.5548038335259626,0.9106401771263923,0.8003923491907798,0.5781710914454278,0.7137834036568214,0.428,0.7227635075287865,0.44954128440366975,1129,0.6791808873720137,0.28125,436,293,64,0.4120291296474877,0.28755733944954126
7,5,Y,no_signal,100_ESMA_200,0.574,0.5564,0.6316539220157675,0.5442603373637857,0.6588961586959252,0.7095893927938914,0.65083135391924,0.64440734557596,0.5939226519337016,0.574,0.6394399066511085,0.6498316498316499,857,0.5279187817258884,0.4630541871921182,297,591,203,0.19389638825873123,0.12922326715430163
8,10,Y,no_signal,100_ESMA_200,0.58,0.5296,0.6939927542337181,0.5244000069614856,0.6289041987084351,0.7300739388879797,0.710237131289763,0.6837349397590362,0.6535269709543569,0.58,0.6725082146768894,0.7071651090342679,913,0.6210131332082551,0.35195530726256985,321,533,179,0.3053763750208064,0.09244852851598531
9,20,Y,keep,100_ESMA_200,0.604,0.5754,0.763157894736842,0.6016622706313212,0.584438343418176,0.6843360173498747,0.7422096317280453,0.6953846153846155,0.6846846846846847,0.604,0.690200210748156,0.6475644699140402,949,0.6740890688259109,0.5033112582781457,349,494,151,0.38436581443070267,0.22512761152963054
10,30,Y,keep,100_ESMA_200,0.63,0.6208,0.7948025675852337,0.6310189326177698,0.5715920244188999,0.6939634513611259,0.7978723404255319,0.7058823529411765,0.7361111111111112,0.63,0.7660878447395302,0.6453488372093024,979,0.6724511930585684,0.5961538461538461,344,461,156,0.46600298236945487,0.2786970781156828
11,45,Y,keep,100_ESMA_200,0.63,0.5674,0.7972011279735091,0.5927787394759619,0.5627959894257217,0.6846243646216931,0.823529411764706,0.7338129496402879,0.7618384401114207,0.63,0.7862068965517242,0.7122905027932961,1015,0.7030878859857482,0.4225352112676056,358,421,142,0.4904555187625054,0.15158549059721457
12,60,Y,no_signal,100_ESMA_200,0.55,0.53,0.7789056144221123,0.5053399122807019,0.5670134978278667,0.7717223941241762,0.8158953722334005,0.6575342465753424,0.7442348008385744,0.55,0.773117254528122,0.5684210526315789,1049,0.6649214659685864,0.49166666666666664,380,382,120,0.45864922464176805,0.125
