,Date,Close,Close_slope5,Close_slope25
5030,2025-07-03,556.219970703125,1.54199,1.28198
5029,2025-07-02,550.7999877929688,0.806,1.20693
5028,2025-07-01,546.989990234375,1.70801,1.13563
5027,2025-06-30,551.6400146484375,3.065,1.1897
5026,2025-06-27,548.0900268554688,3.93199,1.12389
5025,2025-06-26,546.219970703125,4.94719,1.07304
5024,2025-06-25,541.1599731445312,3.90679,0.94682
5023,2025-06-24,539.780029296875,2.58405,0.83474
5022,2025-06-23,531.6500244140625,-0.63287,0.7259
5021,2025-06-20,526.239013671875,-0.55538,0.70469
5020,2025-06-18,528.3965454101562,-0.72119,0.73285
5019,2025-06-17,528.4865112304688,-0.6023,0.76167
5018,2025-06-16,533.6906127929688,-0.5284,0.85067
5017,2025-06-13,526.368896484375,-0.8021,1.05461
5016,2025-06-12,533.061279296875,0.91796,1.29322
5015,2025-06-11,531.8126831054688,1.95081,1.48121
5014,2025-06-10,533.6107177734375,1.67712,1.66042
5013,2025-06-09,530.1046752929688,0.79412,1.74078
5012,2025-06-06,529.3255004882812,1.08977,1.79237
5011,2025-06-05,524.2012329101562,1.69009,1.8855
5010,2025-06-04,528.1768188476562,2.58409,2.05007
5009,2025-06-03,526.7084350585938,2.00375,2.13644
5008,2025-06-02,522.623046875,0.41754,2.22535
5007,2025-05-30,518.5276489257812,1.84294,2.31155
5006,2025-05-29,519.3467407226562,2.15058,2.44783
5005,2025-05-28,518.3278198242188,1.89387,2.65407
5004,2025-05-27,520.63525390625,-0.18979,2.91322
5003,2025-05-23,508.668701171875,-3.17744,3.19694
5002,2025-05-22,513.4234008789062,-2.39632,3.43129
5001,2025-05-21,512.4644165039062,-1.36448,3.56731
5000,2025-05-20,519.6863403320312,0.59333,3.53193
4999,2025-05-19,521.4244384765625,1.56524,3.38674
4998,2025-05-16,520.9249877929688,3.09452,3.20433
4997,2025-05-15,518.66748046875,7.33076,3.05074
4996,2025-05-14,518.09814453125,8.83009,2.67911
4995,2025-05-13,515.0116577148438,8.40457,2.73272
4994,2025-05-12,507.2803039550781,5.74855,2.66799
4993,2025-05-09,487.4225769042969,1.09478,2.61937
4992,2025-05-08,487.74224853515625,-0.37058,2.44579
4991,2025-05-07,482.7578125,-0.41754,2.00532
4990,2025-05-06,480.86993408203125,1.61118,1.63718
4989,2025-05-05,485.3848571777344,3.41216,1.31463
4988,2025-05-02,488.2816162109375,3.89463,0.93715
4987,2025-05-01,481.1396484375,2.12761,0.40073
4986,2025-04-30,474.9366149902344,1.91885,-0.09526
4985,2025-04-29,474.9965515136719,4.69473,-0.61087
4984,2025-04-28,471.8800354003906,7.37771,-1.08743
4983,2025-04-25,472.0298767089844,10.16559,-1.42406
4982,2025-04-24,466.8257141113281,6.78737,-1.74171
4981,2025-04-23,454.050048828125,2.11163,-2.01773
4980,2025-04-22,443.98138427734375,-3.80472,-2.09768
4979,2025-04-21,432.6241149902344,-6.25598,-2.1379
4978,2025-04-17,443.601806640625,-3.38619,-2.00705
4977,2025-04-16,443.68170166015625,-0.04096,-1.84653
4976,2025-04-15,457.4761962890625,-0.47148,-1.74772
4975,2025-04-14,456.966796875,7.11601,-1.71326
4974,2025-04-11,453.8902282714844,9.14373,-1.6742
4973,2025-04-10,445.6794738769531,8.92298,-1.76867
4972,2025-04-09,465.47723388671875,2.4043,-1.71982
4971,2025-04-08,415.59326171875,-14.69849,-1.96436
4970,2025-04-07,423.2146911621094,-15.13301,-1.62348
4969,2025-04-04,422.19586181640625,-11.44115,-1.31213
4968,2025-04-03,450.1544494628906,-2.92971,-1.03716
4967,2025-04-02,475.6158447265625,-0.71719,-0.90394
4966,2025-04-01,472.16973876953125,-3.60195,-1.11934
4965,2025-03-31,468.39398193359375,-6.44476,-1.25995
4964,2025-03-28,468.4139404296875,-5.5218,-1.39247
4963,2025-03-27,481.0797119140625,-0.32843,-1.54382
4962,2025-03-26,483.83660888671875,2.49752,-1.88117
4961,2025-03-25,492.90643310546875,3.86423,-2.22506
4960,2025-03-24,490.10955810546875,3.35655,-2.61652
4959,2025-03-21,479.58538818359375,0.08578,-2.93412
4958,2025-03-20,478.009521484375,-0.2673,-3.08989
4957,2025-03-19,479.6352844238281,1.99279,-3.11769
4956,2025-03-18,473.3018493652344,0.96447,-3.12126
4955,2025-03-17,481.5103454589844,2.50145,-3.03697
4954,2025-03-14,478.4084777832031,1.05724,-2.93451
4953,2025-03-13,467.1180114746094,-4.25985,-2.83172
4952,2025-03-12,475.6756591796875,-4.26384,-2.5524
4951,2025-03-11,470.3695068359375,-7.6091,-2.29185
4950,2025-03-10,471.4965515136719,-5.57143,-1.8832
4949,2025-03-07,490.5068359375,-1.78233,-1.48863
4948,2025-03-06,486.92620849609375,-3.48887,-1.25313
4947,2025-03-05,500.7001647949219,-0.91161,-0.9374
4946,2025-03-04,494.25701904296875,-4.11325,-0.7434
4945,2025-03-03,495.7530822753906,-3.88286,-0.39981
4944,2025-02-28,506.8441162109375,-3.63549,-0.19883
4943,2025-02-27,498.9646911621094,-5.67814,-0.11147
4942,2025-02-26,513.2174682617188,-5.79481,0.08386
4941,2025-02-25,511.9806823730469,-6.95779,0.2224
4940,2025-02-24,518.5135498046875,-5.23032,0.40934
4939,2025-02-21,524.7073364257812,-2.62116,0.61715
4938,2025-02-20,535.8281860351562,0.40192,0.72447
4937,2025-02-19,538.1123046875,2.58425,0.82038
4936,2025-02-18,537.962646484375,3.2525,0.86435
4935,2025-02-14,536.7459106445312,2.56431,0.86877
4934,2025-02-13,534.5017700195312,2.49448,0.78627
4933,2025-02-12,526.9215087890625,0.24634,0.70948
4932,2025-02-11,526.6123657226562,0.19249,0.60643
4931,2025-02-10,527.8690795898438,0.56153,0.55846
4930,2025-02-07,521.5556030273438,1.47116,0.56757
4929,2025-02-06,528.2182006835938,2.32991,0.61602
4928,2025-02-05,525.475341796875,0.97545,0.54855
4927,2025-02-04,523.1015625,0.23339,0.43379
4926,2025-02-03,516.7581176757812,-0.59246,0.27466
4925,2025-01-31,520.92724609375,1.73546,0.17958
4924,2025-01-30,521.6852416992188,-0.6523,0.11719
4923,2025-01-29,519.4710693359375,-3.1358,0.0941
4922,2025-01-28,520.448486328125,-3.77313,0.13042
4921,2025-01-27,512.8683471679688,-2.29998,0.13008
4920,2025-01-24,528.2481079101562,2.35584,0.02312
4919,2025-01-23,531.250244140625,4.87624,-0.24351
4918,2025-01-22,530.1231689453125,4.12321,-0.46405
4917,2025-01-21,523.4307250976562,4.4364,-0.63855
4916,2025-01-17,520.378662109375,4.02547,-0.78206
4915,2025-01-16,511.7413024902344,2.28602,-0.80611
4914,2025-01-15,515.351806640625,0.0748,-0.76166
4913,2025-01-14,503.76214599609375,-2.98319,-0.78451
4912,2025-01-13,504.2408752441406,-4.583,-0.64168
4911,2025-01-10,505.8666687011719,-3.19663,-0.50479
4910,2025-01-08,513.925537109375,0.66625,-0.31247
4909,2025-01-07,513.8357543945312,2.21519,-0.17944
4908,2025-01-06,523.1713256835938,2.51442,0.00488
4907,2025-01-03,517.2269287109375,-1.33051,0.13186
4906,2025-01-02,508.8987121582031,-4.99394,0.26604
4905,2024-12-31,509.8961181640625,-5.13159,0.50076
4904,2024-12-30,514.2646484375,-2.18629,0.72944
4903,2024-12-27,521.196533203125,1.61578,0.91708
4902,2024-12-26,528.2182006835938,4.45342,1.04326
4901,2024-12-24,528.5772705078125,3.80713,1.08106
4900,2024-12-23,521.5057373046875,-2.1891,1.12622
4899,2024-12-20,516.473876953125,-6.03944,1.25021
4898,2024-12-19,512.0028076171875,-5.41907,1.29232
4897,2024-12-18,514.2930908203125,-1.47278,1.33879
