run,model,test_days,pred,acc,test_n,test_pos_n,test_neg_n,test_pos_frac,test_neg_frac,train_n,train_start,train_end,test_start,test_end,train_years,horizon_days,n_features,feature_set,horizon
1,xgboost,1,1.0,1.0,1,1,0,1.0,0.0,980,2022-01-12,2025-12-18,2025-12-19,2025-12-19,4,2,82,daily,2
1,random_forest,1,0.65,1.0,1,1,0,1.0,0.0,980,2022-01-12,2025-12-18,2025-12-19,2025-12-19,4,2,82,daily,2
2,xgboost,1,0.85,1.0,1,1,0,1.0,0.0,980,2022-01-11,2025-12-17,2025-12-18,2025-12-18,4,2,82,daily,2
2,random_forest,1,0.45,0.0,1,1,0,1.0,0.0,980,2022-01-11,2025-12-17,2025-12-18,2025-12-18,4,2,82,daily,2
3,xgboost,1,0.0,0.0,1,1,0,1.0,0.0,980,2022-01-10,2025-12-16,2025-12-17,2025-12-17,4,2,82,daily,2
3,random_forest,1,0.4,0.0,1,1,0,1.0,0.0,980,2022-01-10,2025-12-16,2025-12-17,2025-12-17,4,2,82,daily,2
4,xgboost,1,0.45,1.0,1,0,1,0.0,1.0,980,2022-01-07,2025-12-15,2025-12-16,2025-12-16,4,2,82,daily,2
4,random_forest,1,0.35,1.0,1,0,1,0.0,1.0,980,2022-01-07,2025-12-15,2025-12-16,2025-12-16,4,2,82,daily,2
5,xgboost,1,0.35,1.0,1,0,1,0.0,1.0,980,2022-01-06,2025-12-12,2025-12-15,2025-12-15,4,2,82,daily,2
5,random_forest,1,0.55,0.0,1,0,1,0.0,1.0,980,2022-01-06,2025-12-12,2025-12-15,2025-12-15,4,2,82,daily,2
6,xgboost,1,0.85,0.0,1,0,1,0.0,1.0,980,2022-01-05,2025-12-11,2025-12-12,2025-12-12,4,2,82,daily,2
6,random_forest,1,0.6,0.0,1,0,1,0.0,1.0,980,2022-01-05,2025-12-11,2025-12-12,2025-12-12,4,2,82,daily,2
7,xgboost,1,1.0,0.0,1,0,1,0.0,1.0,980,2022-01-04,2025-12-10,2025-12-11,2025-12-11,4,2,82,daily,2
7,random_forest,1,0.6,0.0,1,0,1,0.0,1.0,980,2022-01-04,2025-12-10,2025-12-11,2025-12-11,4,2,82,daily,2
8,xgboost,1,0.5,0.0,1,0,1,0.0,1.0,980,2022-01-03,2025-12-09,2025-12-10,2025-12-10,4,2,82,daily,2
8,random_forest,1,0.65,0.0,1,0,1,0.0,1.0,980,2022-01-03,2025-12-09,2025-12-10,2025-12-10,4,2,82,daily,2
9,xgboost,1,0.95,1.0,1,1,0,1.0,0.0,980,2021-12-31,2025-12-08,2025-12-09,2025-12-09,4,2,82,daily,2
9,random_forest,1,0.65,1.0,1,1,0,1.0,0.0,980,2021-12-31,2025-12-08,2025-12-09,2025-12-09,4,2,82,daily,2
10,xgboost,1,0.6,1.0,1,1,0,1.0,0.0,980,2021-12-30,2025-12-05,2025-12-08,2025-12-08,4,2,82,daily,2
10,random_forest,1,0.5,1.0,1,1,0,1.0,0.0,980,2021-12-30,2025-12-05,2025-12-08,2025-12-08,4,2,82,daily,2
11,xgboost,1,0.95,0.0,1,0,1,0.0,1.0,980,2021-12-29,2025-12-04,2025-12-05,2025-12-05,4,2,82,daily,2
11,random_forest,1,0.7,0.0,1,0,1,0.0,1.0,980,2021-12-29,2025-12-04,2025-12-05,2025-12-05,4,2,82,daily,2
12,xgboost,1,0.9,1.0,1,1,0,1.0,0.0,980,2021-12-28,2025-12-03,2025-12-04,2025-12-04,4,2,82,daily,2
12,random_forest,1,0.7,1.0,1,1,0,1.0,0.0,980,2021-12-28,2025-12-03,2025-12-04,2025-12-04,4,2,82,daily,2
13,xgboost,1,1.0,1.0,1,1,0,1.0,0.0,980,2021-12-27,2025-12-02,2025-12-03,2025-12-03,4,2,82,daily,2
13,random_forest,1,0.7,1.0,1,1,0,1.0,0.0,980,2021-12-27,2025-12-02,2025-12-03,2025-12-03,4,2,82,daily,2
14,xgboost,1,0.85,1.0,1,1,0,1.0,0.0,980,2021-12-23,2025-12-01,2025-12-02,2025-12-02,4,2,82,daily,2
14,random_forest,1,0.65,1.0,1,1,0,1.0,0.0,980,2021-12-23,2025-12-01,2025-12-02,2025-12-02,4,2,82,daily,2
15,xgboost,1,1.0,1.0,1,1,0,1.0,0.0,980,2021-12-22,2025-11-26,2025-12-01,2025-12-01,4,2,82,daily,2
15,random_forest,1,0.65,1.0,1,1,0,1.0,0.0,980,2021-12-22,2025-11-26,2025-12-01,2025-12-01,4,2,82,daily,2
16,xgboost,1,0.7,1.0,1,1,0,1.0,0.0,980,2021-12-21,2025-11-25,2025-11-26,2025-11-26,4,2,82,daily,2
16,random_forest,1,0.5,1.0,1,1,0,1.0,0.0,980,2021-12-21,2025-11-25,2025-11-26,2025-11-26,4,2,82,daily,2
17,xgboost,1,0.45,0.0,1,1,0,1.0,0.0,980,2021-12-20,2025-11-24,2025-11-25,2025-11-25,4,2,82,daily,2
17,random_forest,1,0.55,1.0,1,1,0,1.0,0.0,980,2021-12-20,2025-11-24,2025-11-25,2025-11-25,4,2,82,daily,2
18,xgboost,1,0.3,0.0,1,1,0,1.0,0.0,980,2021-12-17,2025-11-21,2025-11-24,2025-11-24,4,2,82,daily,2
18,random_forest,1,0.45,0.0,1,1,0,1.0,0.0,980,2021-12-17,2025-11-21,2025-11-24,2025-11-24,4,2,82,daily,2
19,xgboost,1,0.9,1.0,1,1,0,1.0,0.0,980,2021-12-16,2025-11-20,2025-11-21,2025-11-21,4,2,82,daily,2
19,random_forest,1,0.5,1.0,1,1,0,1.0,0.0,980,2021-12-16,2025-11-20,2025-11-21,2025-11-21,4,2,82,daily,2
20,xgboost,1,0.05,0.0,1,1,0,1.0,0.0,980,2021-12-15,2025-11-19,2025-11-20,2025-11-20,4,2,82,daily,2
20,random_forest,1,0.35,0.0,1,1,0,1.0,0.0,980,2021-12-15,2025-11-19,2025-11-20,2025-11-20,4,2,82,daily,2
