run,model,test_days,pred,acc,test_n,test_pos_n,test_neg_n,test_pos_frac,test_neg_frac,train_n,train_start,train_end,test_start,test_end,train_years,horizon_days,n_features,feature_set,horizon
1,xgboost,1,0.8,0.0,1,0,1,0.0,1.0,980,2022-02-16,2026-01-13,2026-01-16,2026-01-16,4,2,48,ma,2
1,random_forest,1,0.55,0.0,1,0,1,0.0,1.0,980,2022-02-16,2026-01-13,2026-01-16,2026-01-16,4,2,48,ma,2
2,xgboost,1,0.95,0.0,1,0,1,0.0,1.0,980,2022-02-15,2026-01-12,2026-01-15,2026-01-15,4,2,48,ma,2
2,random_forest,1,0.5,1.0,1,0,1,0.0,1.0,980,2022-02-15,2026-01-12,2026-01-15,2026-01-15,4,2,48,ma,2
3,xgboost,1,1.0,1.0,1,1,0,1.0,0.0,980,2022-02-14,2026-01-09,2026-01-14,2026-01-14,4,2,48,ma,2
3,random_forest,1,0.7,1.0,1,1,0,1.0,0.0,980,2022-02-14,2026-01-09,2026-01-14,2026-01-14,4,2,48,ma,2
4,xgboost,1,1.0,0.0,1,0,1,0.0,1.0,980,2022-02-11,2026-01-08,2026-01-13,2026-01-13,4,2,48,ma,2
4,random_forest,1,0.6,0.0,1,0,1,0.0,1.0,980,2022-02-11,2026-01-08,2026-01-13,2026-01-13,4,2,48,ma,2
5,xgboost,1,0.95,0.0,1,0,1,0.0,1.0,980,2022-02-10,2026-01-07,2026-01-12,2026-01-12,4,2,48,ma,2
5,random_forest,1,0.6,0.0,1,0,1,0.0,1.0,980,2022-02-10,2026-01-07,2026-01-12,2026-01-12,4,2,48,ma,2
6,xgboost,1,0.0,1.0,1,0,1,0.0,1.0,980,2022-02-09,2026-01-06,2026-01-09,2026-01-09,4,2,48,ma,2
6,random_forest,1,0.4,1.0,1,0,1,0.0,1.0,980,2022-02-09,2026-01-06,2026-01-09,2026-01-09,4,2,48,ma,2
7,xgboost,1,0.5,1.0,1,1,0,1.0,0.0,980,2022-02-08,2026-01-05,2026-01-08,2026-01-08,4,2,48,ma,2
7,random_forest,1,0.65,1.0,1,1,0,1.0,0.0,980,2022-02-08,2026-01-05,2026-01-08,2026-01-08,4,2,48,ma,2
8,xgboost,1,0.85,1.0,1,1,0,1.0,0.0,980,2022-02-07,2026-01-02,2026-01-07,2026-01-07,4,2,48,ma,2
